Charging Station ID,Charging Station Location,Hour,Day_of_Week,Energy Consumed (kWh),Vehicle_Count,Temperature (°C),Charging Duration (hours),Load_Score
Station_1,Chicago,1,Saturday,74.82644569097782,1,30.955968944199924,1.398582211214841,49.58
Station_1,Los Angeles,16,Thursday,33.07294950547435,1,-6.514431826571196,1.4696595869919784,35.86
Station_1,New York,19,Sunday,45.36457787633022,1,37.330821979493706,0.5641102252550376,39.9
Station_10,Chicago,2,Friday,67.45812734205117,1,24.415749864821812,0.8732927437039172,47.16
Station_10,Chicago,17,Monday,23.824040473705303,1,18.405709050259357,0.8482182678183041,32.82
Station_10,Chicago,23,Thursday,0.0,1,23.398468358721537,1.382497912326283,25.0
Station_10,Houston,3,Thursday,27.04710323077237,1,20.56538826962948,1.109637723285248,33.88
Station_10,Los Angeles,4,Thursday,16.376371083048106,1,3.32494483529693,0.8639844960966747,30.38
Station_10,San Francisco,0,Saturday,72.54995630814713,1,9.6879735645313,0.3599172409276058,48.83
Station_10,San Francisco,8,Thursday,47.19807479360746,1,4.251871253120745,2.861382945524818,40.5
Station_100,Houston,10,Tuesday,10.039817806428031,1,35.14516183263936,1.3029419693211222,28.3
Station_100,New York,2,Monday,71.91146876524706,1,-4.764488994806529,2.886555302238684,48.62
Station_101,Houston,1,Sunday,40.24838259933458,1,38.96813600946469,3.635489899529857,38.22
Station_101,Houston,18,Wednesday,6.0651617128073525,1,27.292127036877663,3.597765518900319,26.99
Station_101,Los Angeles,22,Monday,65.83154346501938,1,-7.430016353044407,3.705617221578461,46.62
Station_101,New York,21,Thursday,0.0,1,39.37247799566256,2.202983392627784,25.0
Station_103,Houston,7,Saturday,0.0,1,13.737856169812805,1.6959583268821938,25.0
Station_103,Los Angeles,2,Wednesday,26.493008140946493,1,19.67904953364568,2.11720414560859,33.7
Station_103,New York,8,Friday,25.08836904191854,1,-9.600906082823007,3.4473801774524633,33.24
Station_103,San Francisco,22,Thursday,7.930901450146639,1,16.808358267905795,2.3423957855284567,27.6
Station_104,Chicago,12,Friday,42.91893733882982,1,6.362088419350972,3.1653954182663813,39.1
Station_104,Chicago,22,Monday,64.450811584597,1,18.966955539787385,3.998843750930618,46.17
Station_105,Houston,8,Friday,13.587964735173609,1,4.53362309385305,3.517065236537333,29.46
Station_105,New York,15,Thursday,79.81869447094793,1,10.69221008986976,2.6064796291623145,51.21
Station_105,San Francisco,16,Wednesday,16.827771594461893,1,25.964996849071653,2.7388169441628936,30.53
Station_106,Chicago,18,Thursday,64.98220570964298,1,1.1741854019925757,3.7347586678524105,46.34
Station_106,Houston,3,Wednesday,55.30273056094204,1,30.18843916487025,2.5445660594661716,43.16
Station_106,New York,0,Monday,9.51652733339272,1,27.830930909390297,1.2783700242921128,28.13
Station_106,San Francisco,12,Wednesday,48.272548285127826,1,33.54745431599779,3.649578321999032,40.85
Station_107,Chicago,7,Tuesday,24.59962969556764,1,14.205489919727103,2.0078608677549403,33.08
Station_107,Houston,21,Friday,8.315805795177543,1,35.821776108815385,0.7281019856402245,27.73
Station_107,New York,13,Tuesday,63.85425613845187,1,28.166794014649128,3.887300863600527,45.97
Station_108,Chicago,17,Thursday,60.83110355266755,1,3.171791758702938,3.5741893701518244,44.98
Station_108,Houston,2,Monday,5.755524649492359,1,18.962712202970867,2.2904466878175924,26.89
Station_108,Houston,10,Saturday,23.993961272428717,1,5.918020657224009,3.269542110243809,32.88
Station_108,Houston,14,Monday,0.0,1,-3.1125361689851054,2.287832254990381,25.0
Station_108,Houston,14,Tuesday,70.99471727287802,1,4.756515891650823,0.7763584975843215,48.32
Station_108,Houston,23,Friday,72.08924276832295,1,3.9270317882741193,2.496163491704368,48.68
Station_108,Los Angeles,4,Monday,19.62910416772725,1,-7.834199027249213,2.0197650865894614,31.45
Station_108,New York,0,Monday,78.98357945200523,1,9.568914679552112,2.9040714587756455,50.94
